source_ip,timestamp,label,length,sequence
10.142.3.195,2024-03-22T22:27:00Z,file-discovery,20,directory-changed file-read file-read directory-changed directory-changed file-read file-read file-read file-read file-read file-read directory-changed file-read file-read file-read file-read file-read file-read file-read file-read
10.51.194.72,2024-08-20T20:53:00Z,port-scan,29,connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed
10.70.252.24,2024-01-25T03:09:00Z,port-scan,44,connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-closed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed connection-failed
10.123.40.22,2024-09-05T02:48:00Z,file-discovery,48,file-read file-read file-read directory-changed file-read file-read file-read file-read directory-changed file-read file-read file-read file-read file-read file-read file-read file-read file-read file-read file-read file-read file-read file-read file-read directory-changed directory-changed file-read file-read file-read file-read file-read directory-changed file-read file-read file-read file-read file-read file-read file-read file-read file-read file-read file-read file-read file-read file-read directory-changed file-read
10.109.67.186,2024-10-19T18:30:00Z,data-exfiltration,34,file-read file-read file-read file-write file-read file-write network-traffic network-traffic connection-opened network-traffic file-write file-read network-traffic process-started network-traffic file-write file-read file-read file-read network-traffic file-read file-read network-traffic file-write file-write file-read file-write network-traffic hardware-monitoring file-read network-traffic file-read file-read network-traffic
10.47.121.43,2024-07-27T15:30:00Z,credential-stuffing,35,authentication-failed authentication-failed authentication-success authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-success authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-success authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-success authentication-failed authentication-failed connection-opened authentication-failed authentication-failed
10.95.35.153,2024-02-04T21:55:00Z,credential-stuffing,29,authentication-failed authentication-failed authentication-failed file-read authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-success authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed
10.4.234.160,2024-10-15T03:04:00Z,credential-stuffing,20,authentication-failed authentication-failed authentication-failed authentication-failed authentication-success authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-success
10.218.4.29,2024-02-08T22:57:00Z,data-exfiltration,43,network-traffic file-write file-write file-read file-read file-read file-read file-read file-read file-read file-read file-read network-traffic file-read file-read network-traffic file-read network-traffic file-read file-read network-traffic network-traffic network-traffic file-read network-traffic file-read file-read network-traffic network-traffic network-traffic file-read file-read file-read file-read network-traffic file-read network-traffic file-read network-traffic file-write file-read file-read file-read
10.19.55.153,2024-08-10T11:46:00Z,slow-brute-force,59,authentication-failed authentication-failed process-started authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed connection-opened authentication-failed network-traffic authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed http-request-success authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed authentication-failed connection-opened authentication-failed
